StationCode,Station Name,Latitude,Longitude
1526200,PRESTEA,5.45,-2.1167
1526300,DABOASI,5.1667,-1.6333
1526801,OKYEREKO (W/ROAD),5.3833,-0.6
1531050,LAWRA,10.6333,-2.9167
1531100,BAMBOI,8.15,-2.0333
1531300,PRANG,7.9833,-0.8833
1531420,YAGABA,10.23,-1.2833
1531430,WIASI,10.33,-1.35
1531450,NAWUNI,9.7,-1.08
1531550,PWALAGU,10.5833,-0.85
1531600,YARUGU,10.98,-0.4
1531650,NANGODI,10.8667,-0.6167
1531800,SABARI,9.28,0.23
