Station Code,River,Station,Country,Latitude,Longitude,Time series start,Time series end,File length (lines)
1834110,RIVER NIGER,YIDERE BODE,NG,11.3833,4.1333,1984-01,2002-11,6944
1835300,RIVER DONGA,DONGA,NG,7.72,10,-,-,36
1835500,RIVER GONGOLA,DADIN KOWA,NG,10.29912,11.513371,-,-,36
1835800,BENUE RIVER,YOLA,NG,9.25,12.5,-,-,36
1835900,BENUE RIVER,IBI,NG,8.2,9.7333,1970-01,2002-10,12027
1837101,YOBE,YAU,NG,13.562167,13.234783,1963-04,1978-01,5456
1837102,YOBE,DAYA,NG,13.51675,13.133517,1977-08,1978-02,244
1837103,YOBE,GASHAGAR,NG,13.376933,12.793817,1963-04,1968-03,1862
1837104,YOBE,DAMASAK,NG,13.277806,12.621056,1963-04,1978-02,5484
1837106,YOBE,GEIDAM,NG,12.989944,11.9705,1958-06,2005-12,17399
1837107,YOBE,GASHUA,NG,12.861889,11.045444,1962-06,2005-11,15895
1837200,KOMADUGU GANA,DAPCHI,NG,12.493528,11.50725,1963-09,2005-10,15438
1837202,KOMADUGU GANA,KARI,NG,11.253933,10.557183,1963-06,1978-03,5445
1837250,RIVER JAMAARE,KATAGUM,NG,12.280889,10.367667,1975-07,1998-11,8570
1837253,RIVER JAMAARE,FOGGO,NG,11.424033,9.950833,1963-06,1982-02,6876
1837255,RIVER JAMAARE,BUNGA,NG,10.930033,9.60565,1964-06,1998-11,12627
1837275,DOGWALO,BIRNIN KUDU,NG,11.427783,9.487417,1964-07,1978-03,5037
1837285,IGGI,IGGI,NG,11.527967,9.336617,1964-06,1978-03,5059
1837400,HADEJIA,GABARUA (OLD BRANCH HADJERA),NG,12.763333,10.680278,1994-07,1995-11,524
1837401,HADEJIA,HADEJIA,NG,12.44065,10.03085,1963-08,2006-04,15626
1837408,HADEJIA,SOUTH BRANCH AT SUNTULMAWA,NG,12.097917,9.187867,1971-08,1978-03,2468
1837409,HADEJIA,DABI,NG,12.0797,8.959367,1976-06,1980-11,1645
1837410,HADEJIA,WUDIL,NG,11.79715,8.834067,1963-04,2005-01,15318
1837420,KAFIN HAUSA,KAFIN HAUSA,NG,12.26075,9.918306,1973-07,2006-01,11925
1837430,KANO RIVER,CHIROMAWA,NG,11.611367,8.377333,1963-06,1996-05,12074
1837431,KANO RIVER,TIGA DAM,NG,11.468333,8.4075,1970-07,1999-06,10593
1837432,KANO RIVER,FALGORE,NG,11.205556,8.636944,1973-06,1973-09,154
1837433,KANO RIVER,RIRWAI,NG,10.753889,8.814722,1970-08,1978-03,2828
1837440,RIVER DUKU,YARYASA,NG,11.346583,8.3025,1973-06,1973-09,143
1837450,RIVER CHALAWA,CHALLAWA BRIDGE,NG,11.9049,8.4133,1963-08,1977-10,5226
1837451,RIVER CHALAWA,CHALLAWA GORGE,NG,11.741666,8.072222,1971-06,2005-11,12636
1837460,RIVER WATARI,GWARZO,NG,11.963333,8.4084,1963-06,1973-09,3809
1837461,RIVER WATARI,DAWAKIN TOFA,NG,12.075,8.334444,1964-06,1973-09,3443
1837462,RIVER WATARI,BAGWAI,NG,12.172222,8.155556,1973-06,1973-11,193
1837470,JAKARA,GEZAWA,NG,12.14,8.703056,1964-06,1973-10,3461
1837500,GARI,JEKARADE,NG,12.592778,8.458889,1963-06,1973-12,3886
1837501,GARI,KUNCHI,NG,12.491667,8.268611,1973-06,1973-10,145
1837510,TOMAS,BABARUGA,NG,12.316667,8.533333,1964-06,1973-09,3445
1837520,TUWARA,KAZAURE,NG,12.651667,8.410556,1969-06,1973-09,1609
1837560,MARMA CHANNEL,LIKORI,NG,12.636467,10.303883,1973-06,2004-07,11369
1837561,MARMA CHANNEL,KASAGA,NG,12.804167,10.386111,1995-09,1998-05,1040
1837570,DUDURUN WARWADE,CHAI-CHAI,NG,12.015467,9.2683,1963-06,1990-09,10016
1837580,DUDURUM GAYA,GAYA,NG,11.809783,8.88045,1963-06,1974-01,3908
1837700,RIVER NGADA,MAIDUGURI,NG,11.85,13.166667,1977-08,1977-11,158
1837701,RIVER NGADA,LOGOJERI,NG,11.685,13.313889,1977-08,1978-03,274
1837800,YEDSERAM,BAMA,NG,11.533333,13.683333,1977-07,1977-12,220
1837801,YEDSERAM,UBA,NG,10.455556,13.230556,1977-04,1978-03,379
1837810,MBULI,MBULI,NG,12.316667,14.116667,1977-08,1977-11,142
1926100,RIO PAPAGAIO,BELA VISTA,ST,1.63,7.42,1988-09,1989-08,401
1926300,RIO LEMBA,S.JOSE,ST,0.23,6.5,-,-,36
1926500,RIO IO GRANDE,MANUEL CAROCA,ST,0.12,6.65,1988-09,1989-08,401
1926550,RIO ABADE,BOMBAIM,ST,0.25,6.65,-,-,36
1926600,RIO DO OURO,BOA ESPERANCA,ST,0.33,6.63,-,-,36
1926610,RIO DO OURO,C.H.,ST,0.33,6.63,-,-,36
1926650,RIO MANUEL JORGE,PIAN PIAN,ST,0.23,6.7,-,-,36
1926700,AGUA GRANDE,LUCIAN COLA,ST,0.33,6.23,1988-10,1989-08,371
1926800,RIO ABADE,AGUA-IZE,ST,0.23,6.73,1988-09,1989-08,385
1928130,LERABA,FOURKOURA,BF,10.3,-5.38,-,-,36
1928250,LERABA,DOUNA,BF,10.63,-5.12,-,-,36
1928370,LERABA,NIOFILA,BF,10.68,-5.1,-,-,36
1928490,LERABA,YENDERE,BF,10.17,-5.07,1977-01,1977-12,401
1928625,KOMOE,KARFIGUELA,BF,10.73,-4.83,-,-,36
1928745,KOMOE,DIARABAKOKO,BF,10.48,-4.78,1977-01,1983-12,2592
1928865,KOMOE,FOLONZO,BF,9.85,-4.62,1977-01,1977-12,401
1931025,BLACK VOLTA,BANZO,BF,11.32,-4.82,-,-,36
1931055,BLACK VOLTA,GUENA,BF,11.08,-4.68,-,-,36
1931070,BLACK VOLTA,SAMANDENI,BF,11.47,-4.47,1977-01,1983-12,2592
1931085,KOU,NASSO,BF,11.2,-4.43,-,-,36
1931090,KOU,BADARA,BF,11.37,-4.37,-,-,36
1931160,BOUGOURIBA,DAN,BF,10.92,-3.65,1977-01,1983-12,2592
1931180,BLACK VOLTA,NWOKUY,BF,12.52,-3.55,-,-,36
1931190,BLACK VOLTA,KOURI,BF,12.73,-3.48,-,-,36
1931295,BLACK VOLTA,MANIMENSO,BF,12.75,-3.4,-,-,36
1931340,BOUGOURIBA,DIEBOUGOU,BF,10.93,-3.17,-,-,36
1931370,BLACK VOLTA,BOROMO,BF,11.78,-2.92,-,-,36
1931400,BLACK VOLTA,DAPOLA,BF,10.57,-2.92,1977-01,1977-12,401
1931415,KANBA,BATIE,BF,9.98,-2.9,-,-,36
1931420,WHITE VOLTA,RAMBO,BF,13.6,-2.07,-,-,36
1931445,BLACK VOLTA,TENADO,BF,12.17,-2.82,-,-,36
1931460,BLACK VOLTA,OUESSA,BF,11.02,-2.82,-,-,36
1931475,BLACK VOLTA,NOUMBIEL,BF,9.68,-2.77,-,-,36
1931535,RED VOLTA,SAKOINSE,BF,12.2,-2.02,-,-,36
1931550,SISSILI,NEBBOU,BF,11.28,-1.93,-,-,36
1931565,RED VOLTA,DAKAYE,BF,11.78,-1.6,1977-01,1983-12,2592
1931580,WHITE VOLTA,YILOU,BF,13,-1.55,1977-01,1982-12,2227
1931695,RED VOLTA,NOBERE,BF,11.43,-1.18,-,-,36
1931710,WHITE VOLTA,BISSIGA,BF,12.75,-1.15,-,-,36
1931725,WHITE VOLTA,WAYEN,BF,12.38,-1.08,-,-,36
1931770,WHITE VOLTA,NIAOGHO,BF,11.77,-0.75,-,-,36
1931785,WHITE VOLTA,YAKALA,BF,11.48125,-0.56042,1977-01,1977-12,401
1931790,WHITE VOLTA,BAGRE,BF,11.35,-0.53,-,-,36
1931815,TCHERBO,BAGRE,BF,11.6,-0.57,-,-,36
1931845,NAHAU,BITTOU,BF,11.18,-0.28,-,-,36
1931860,MOILABOUANGA,TAGOU,BF,11.15,0.62,-,-,36
1931880,SINGOU,SAMBOALI,BF,11.28,1.02,1978-01,1983-12,2227
1931890,DOUDODO,ARLY,BF,11.53,1.42,-,-,36
1931905,PENDJARI,ARLY,BF,11.43,1.57,-,-,36
1934575,GOUDEBO,YAKOUTA,BF,14.08,-0.13,1978-01,1983-12,2227
1934645,GOROUOL,KORIZIENA,BF,14.37,-0.03,-,-,36
1934680,SIRBA,BILANGA,BF,12.63,-0.03,-,-,36
1934715,FAGA,LIPTOUGOU,BF,13.18958,0.31042,-,-,36
1934890,DYAMONGOU,BOTOU,BF,12.66875,2.06458,-,-,36
