Station Code,River,Station,Country,Latitude,Longitude,Time series start,Time series end,File length (lines)
1338050,SANAGA,EDEA,CM,3.77,10.07,-,-,36
1338200,NOUN,BAFOUSSAM,CM,5.47,10.55,-,-,36
1338201,LOM,BETARE-OYA,CM,5.76458,14.10208,-,-,36
1338252,MBAM,MANTOUM,CM,5.62,11.18,-,-,36
1338271,DJEKE,NGONGON,CM,4.8,12,-,-,36
1338300,MBAM,GOURA,CM,4.57,11.37,-,-,36
1338400,SANAGA,NACHTIGAL,CM,4.35,11.63,-,-,36
1338401,RIVER NSANG,MAGBA,CM,5.98,11.27,-,-,36
1338503,NOUN,BAMENDJING,CM,5.68,10.5,-,-,36
1338600,DJEREM,MBAKAOU,CM,6.33,12.82,-,-,36
1339011,NYONG,AKONOLINGA,CM,3.78,12.25,-,-,36
1339012,NYONG,AYOS,CM,3.88,12.52,-,-,36
1339014,NYONG,ESEKA,CM,3.56877,10.70207,-,-,36
1339015,NYONG,KAYA,CM,3.53,11.08,-,-,36
1339017,NYONG,OLAMA,CM,3.43,11.28,-,-,36
1339100,NYONG,DEHANE,CM,3.57,10.12,-,-,36
1339500,NYONG,MBALMAYO,CM,3.52,11.5,-,-,36
1340500,NTEM,NGOAZIK,CM,2.3,11.3,-,-,36
1348100,DJA,SOMALOMO,CM,3.38,12.77,-,-,36
1348151,KADEI,BATOURI,CM,4.33125,14.33958,-,-,36
1348152,KADEI,PANA,CM,4.2,14.68,-,-,36
1348351,BOUMBA,BIWALA,CM,3.220087,14.920344,-,-,36
1348401,DJA,BIE,CM,2.8,13.35,-,-,36
1362100,NILE RIVER,EL EKHSASE,EG,29.7,31.28,-,-,36
1362200,NILE RIVER,ASSIUT,EG,27.18,31.1,-,-,36
1362300,NILE RIVER,NAG HAMMADI,EG,26.05,32.25,-,-,36
1362400,NILE RIVER,ESNA,EG,25.32,32.56,-,-,36
1362500,NILE RIVER,GAAFRA,EG,24.32,32.9,-,-,36
1362600,NILE RIVER,ASWAN DAM,EG,23.96,32.9,-,-,36
1425100,CAVALLY,FLAMPLEU,CI,7.25,-8.06,1979-01,1993-12,5515
1425300,NSE,TAI,CI,5.91,-7.44,1979-01,1993-12,5515
1425350,CAVALLY,TAI,CI,5.85,-7.43,1979-01,1982-12,1497
1425450,HANA,NIEBE,CI,5.37,-7.31,1979-01,1993-12,5515
1425500,CAVALLY,TATE,CI,4.38,-7.59,1970-01,1996-12,9898
1426010,TABOU,YAKA,CI,4.49,-7.38,1979-01,1993-12,5515
1426050,NONO,GRANDE BEREBY,CI,4.74,-6.91,1979-01,1993-12,5495
1426100,NIARI,MADJI,CI,8.74,-6.85,1979-01,1993-12,5515
1426120,BANDAMA BLANC,TAWARA,CI,9.74,-5.62,1979-02,1982-12,1464
